age_group,NSW,Vic,Qld,SA,WA,Tas,NT,ACT,Aus
0–9,1010335,816120,653877,205566,345665,61126,36151,56474,3185810
10–19,964103,768476,653318,206098,320392,64195,31828,49275,3058194
20–29,1172281,1019635,713277,232532,354505,65403,39696,69669,3667439
30–39,1171013,999419,699620,230199,395639,63089,43951,69718,3673275
40–49,1032980,848047,668359,217947,349553,64757,33972,57972,3274257
50–59,972306,778902,627651,225407,325208,72197,29520,48193,3080088
60–69,840492,650870,527299,202554,264682,69682,19438,37400,2613102
70–79,582663,446546,364189,144361,171767,48613,8711,24952,1792163
80+,343644,268024,186920,87299,94098,25395,2662,13051,1021243
Total,8089817,6596039,5094510,1751963,2621509,534457,245929,426704,25365571
