Country_Region,Confirmed,Hospitalised,ICU,Ventilated,Deaths,Recovered,Date
Australia,0,,,,0,,23/01/2020
Australia,1,,,,0,,24/01/2020
Australia,4,,,,0,,25/01/2020
Australia,4,,,,0,,26/01/2020
Australia,4,,,,0,,27/01/2020
Australia,4,,,,0,,28/01/2020
Australia,6,,,,0,,29/01/2020
Australia,7,,,,0,,30/01/2020
Australia,9,,,,0,,31/01/2020
Australia,11,,,,0,,1/02/2020
Australia,11,,,,0,,2/02/2020
Australia,11,,,,0,,3/02/2020
Australia,12,,,,0,,4/02/2020
Australia,13,,,,0,,5/02/2020
Australia,14,,,,0,,6/02/2020
Australia,14,,,,0,,7/02/2020
Australia,14,,,,0,,8/02/2020
Australia,14,,,,0,,9/02/2020
Australia,14,,,,0,,10/02/2020
Australia,14,,,,0,,11/02/2020
Australia,14,,,,0,,12/02/2020
Australia,15,,,,0,,13/02/2020
Australia,15,,,,0,,14/02/2020
Australia,15,,,,0,,15/02/2020
Australia,15,,,,0,,16/02/2020
Australia,15,,,,0,,17/02/2020
Australia,15,,,,0,,18/02/2020
Australia,15,,,,0,,19/02/2020
Australia,17,,,,0,,20/02/2020
Australia,21,,,,0,,21/02/2020
Australia,22,,,,0,,22/02/2020
Australia,22,,,,0,,23/02/2020
Australia,22,,,,0,,24/02/2020
Australia,22,,,,0,,25/02/2020
Australia,23,,,,0,,26/02/2020
Australia,23,,,,0,,27/02/2020
Australia,25,,,,0,,28/02/2020
Australia,26,,,,1,,29/02/2020
Australia,29,,,,1,,1/03/2020
Australia,33,,,,1,,2/03/2020
Australia,41,,,,1,,3/03/2020
Australia,52,,,,2,,4/03/2020
Australia,59,,,,2,,5/03/2020
Australia,63,,,,2,,6/03/2020
Australia,74,,,,3,,7/03/2020
Australia,80,,,,3,,8/03/2020
Australia,100,,,,3,,9/03/2020
Australia,112,,,,3,,10/03/2020
Australia,126,,,,3,,11/03/2020
Australia,156,,,,3,,12/03/2020
Australia,197,,,,3,,13/03/2020
Australia,249,,,,3,,14/03/2020
Australia,298,,,,5,,15/03/2020
Australia,375,,,,5,,16/03/2020
Australia,454,,,,5,,17/03/2020
Australia,565,,,,6,,18/03/2020
Australia,709,,,,6,,19/03/2020
Australia,874,,,,7,,20/03/2020
Australia,1098,,,,7,,21/03/2020
Australia,1709,,,,7,,22/03/2020
Australia,1823,,,,7,,23/03/2020
Australia,2423,,,,8,,24/03/2020
Australia,2799,,,,11,,25/03/2020
Australia,3166,,,,13,,26/03/2020
Australia,3378,,,,13,,27/03/2020
Australia,3809,,,,14,,28/03/2020
Australia,4093,,,,16,,29/03/2020
Australia,4245,,55,,17,,30/03/2020
Australia,4557,,63,,19,,31/03/2020
Australia,4860,,76,,20,,1/04/2020
Australia,5133,,80,,23,,2/04/2020
Australia,5350,,85,,26,520,3/04/2020
Australia,5548,,85,33,30,,4/04/2020
Australia,5687,408,91,33,34,2315,5/04/2020
Australia,5795,448,96,35,39,2432,6/04/2020
Australia,5908,305,93,,45,2547,7/04/2020
Australia,6013,263,87,,50,2813,8/04/2020
Australia,6103,262,81,35,51,2987,9/04/2020
Australia,6203,236,74,,53,3141,10/04/2020
Australia,6292,240,80,39,56,3265,11/04/2020
Australia,6313,239,81,,59,3338,12/04/2020
Australia,6359,227,79,35,61,3494,13/04/2020
Australia,6400,230,80,,61,3598,14/04/2020
Australia,6447,214,76,,63,3686,15/04/2020
Australia,6465,201,66,42,63,3747,16/04/2020
Australia,6523,192,60,38,64,3819,17/04/2020
Australia,6565,184,55,,68,4163,18/04/2020
Australia,6606,177,48,33,70,4230,19/04/2020
Australia,6619,170,49,,71,4258,20/04/2020
Australia,6625,,,,71,,21/04/2020
Australia,6645,167,47,34,74,4291,22/04/2020
Australia,6649,162,47,,74,4761,23/04/2020
Australia,6661,152,45,29,75,5045,24/04/2020
Australia,6675,138,42,29,78,5136,25/04/2020
Australia,6711,115,42,,83,5539,26/04/2020
Australia,6720,113,43,,83,5586,27/04/2020
Australia,6731,109,42,,84,5626,28/04/2020
Australia,6746,93,38,,89,5667,29/04/2020
Australia,6767,83,28,,93,5745,30/04/2020
Australia,6783,79,28,,93,5789,1/05/2020
Australia,6801,75,28,,95,5817,2/05/2020
Australia,6825,70,28,,95,5859,3/05/2020
Australia,6849,66,27,20,96,5889,4/05/2020
Australia,6875,62,27,18,97,5984,5/05/2020
Australia,6896,58,23,17,97,6035,6/05/2020
Australia,6914,56,21,,97,6079,7/05/2020
Australia,6929,51,19,,97,6135,8/05/2020
Australia,6941,43,17,14,97,6163,9/05/2020
Australia,6948,49,16,,97,6179,10/05/2020
Australia,6964,47,16,,97,6229,11/05/2020
Australia,6975,50,17,14,98,6271,12/05/2020
