name,populationServed,ageDistribution,hospitalBeds,ICUBeds
Italy,60462000,Italy,165384,7550
Spain,46755000,Spain,110346,4479
Netherlands,17135000,Netherlands,55690,1065
CHE-Zürich,1521000,Switzerland,5447,247
CHE-Bern,1035000,Switzerland,3706,168
CHE-Luzern,410000,Switzerland,1468,66
CHE-Uri,36000,Switzerland,128,5
CHE-Schwyz,159000,Switzerland,569,25
CHE-Obwalden,38000,Switzerland,136,6
CHE-Nidwalden,43000,Switzerland,153,7
CHE-Glarus,40000,Switzerland,143,6
CHE-Zug,127000,Switzerland,454,20
CHE-Fribourg,319000,Switzerland,1142,51
CHE-Solothurn,273000,Switzerland,977,44
CHE-Basel-Stadt,195000,Switzerland,698,80
CHE-Basel-Landschaft,288000,Switzerland,1031,46
CHE-Schaffhausen,82000,Switzerland,293,13
CHE-Appenzell Ausserrhoden,55000,Switzerland,196,8
CHE-Appenzell Innerrhoden,16000,Switzerland,57,2
CHE-St. Gallen,508000,Switzerland,1819,82
CHE-Graubünden,198000,Switzerland,709,32
CHE-Aargau,677000,Switzerland,2424,110
CHE-Thurgau,276000,Switzerland,988,44
CHE-Ticino,353000,Switzerland,1264,57
CHE-Vaud,799000,Switzerland,2861,130
CHE-Valais,344000,Switzerland,1231,56
CHE-Neuchâtel,177000,Switzerland,633,28
CHE-Geneva,499000,Switzerland,1787,81
CHE-Jura,73000,Switzerland,261,11
DEU-Baden-Württemberg,11070000,Germany,66152,3156
DEU-Bayern,13077000,Germany,78146,3728
DEU-Berlin,3645000,Germany,21781,1039
DEU-Bremen,683000,Germany,4081,194
DEU-Brandenburg,2512000,Germany,15011,716
DEU-Hamburg,1841000,Germany,11001,524
DEU-Hessen,6266000,Germany,37444,1786
DEU-Mecklenburg-Vorpommern,1610000,Germany,9621,459
DEU-Niedersachsen,7982000,Germany,47699,2275
DEU-Nordrhein-Westfalen,17933000,Germany,107164,5113
DEU-Rheinland-Pfalz,4085000,Germany,24411,1164
DEU-Saarland,991000,Germany,5922,282
DEU-Sachsen,4078000,Germany,24369,1162
DEU-Sachsen-Anhalt,2208000,Germany,13194,629
DEU-Schleswig-Holstein,2897000,Germany,17312,826
DEU-Thüringen,2143000,Germany,12806,611
DEU-NI-RegionGöttingen,600000,Germany,6000,300
ESP-Andalucía,8414240,Spain,19744,801
ESP-Aragón,1319291,Spain,3096,125
ESP-Asturias,1022800,Spain,2400,97
ESP-Baleares,1149460,Spain,2697,109
ESP-Canarias,2153389,Spain,5053,205
ESP-Cantabria,581078,Spain,1363,55
ESP-Castilla-La Mancha,2032863,Spain,4770,193
ESP-Castilla y Leon,2399548,Spain,5630,228
ESP-Cataluña,7675217,Spain,18010,731
ESP-Ceuta,84777,Spain,199,8
ESP-C. Valenciana,5003769,Spain,11741,476
ESP-Extremadura,1067710,Spain,2505,101
ESP-Galicia,2699499,Spain,6334,257
ESP-Madrid,6663394,Spain,15636,634
ESP-Melilla,86487,Spain,203,8
ESP-Murcia,1493898,Spain,3505,142
ESP-Navarra,654214,Spain,1535,62
ESP-País Vasco,2207776,Spain,5180,210
ESP-La Rioja,316798,Spain,743,30
SWE-Stockholm,2000000,Sweden,4506,108
ITA-Piemonte,4356406,Italy,14826,320
ITA-Valle d'Aosta,125666,Italy,449,0
ITA-Lombardia,10060574,Italy,34473,1067
ITA-TrentinoAltoAdige,1072276,Italy,3763,75
ITA-Veneto,4905854,Italy,15857,825
ITA-Friuli Venezia Giulia,1215220,Italy,3899,825
ITA-Liguria,1550640,Italy,5085,75
ITA-Emilia Romagna,4459477,Italy,16304,650
ITA-Toscana,3729641,Italy,10366,447
ITA-Umbria,882015,Italy,2652,69
ITA-Marche,1525271,Italy,4698,400
ITA-Lazio,5879082,Italy,18887,540
ITA-Abruzzo,1311580,Italy,3872,70
ITA-Molise,305617,Italy,1029,30
ITA-Campania,5801692,Italy,14779,320
ITA-Puglia,4029053,Italy,11306,300
ITA-Basilicata,562869,Italy,1681,5
ITA-Calabria,1947131,Italy,4901,107
ITA-Sicilia,4999891,Italy,13642,441
ITA-Sardegna,1639591,Italy,4960,244
FRA-Auvergne-Rhône-Alpes,8026685,France,16641,555
FRA-Bourgogne-Franche-Comté,2795301,France,7095,121
FRA-Bretagne,3329395,France,7361,109
FRA-Centre-Val-de-Loire,2566759,France,4984,170
FRA-Corse,339178,France,756,71
FRA-Grand-Est,5518188,France,13548,465
FRA-Hauts-de-France,5978266,France,13872,438
FRA-Ile-de-France,12213364,France,22792,1147
FRA-Normandie,3319067,France,7645,294
FRA-Nouvelle-Aquitaine,5987014,France,12491,449
FRA-Occitanie,5892817,France,9851,466
FRA-Pays-de-la-Loire,3786545,France,6570,181
FRA-Provence-Alpes-Côte-dAzur,5059473,France,9909,460
FRA-Guadeloupe,382704,France,735,20
FRA-Guyane,296711,France,383,15
FRA-La-Réunion,866506,France,1260,60
FRA-Martinique,364354,France,882,20
FRA-Mayotte,270372,France,300,15
USA,331002000,USA,1485000,49499
USA-New York,19440469,USA,52489,1750
UK,66000000,UK,297000,9900
Iceland,364260,Iceland,1169,29
Australia,24992369,Australia,95970,2378
SWE-Stockholm,2000000,Sweden,4506,108
Sweden,10183175,Sweden,20477,550
