Province_State,Confirmed,ICU,Hospitalised,Deaths,Recovered,Date
South Australia,1,,,0,0,1/02/2020
South Australia,2,,,0,0,2/02/2020
South Australia,2,,,0,0,3/02/2020
South Australia,2,,,0,0,4/02/2020
South Australia,2,,,0,0,5/02/2020
South Australia,2,,,0,0,6/02/2020
South Australia,2,,,0,0,7/02/2020
South Australia,2,,,0,0,8/02/2020
South Australia,2,,,0,0,9/02/2020
South Australia,2,,,0,0,10/02/2020
South Australia,2,,,0,0,11/02/2020
South Australia,2,,,0,0,12/02/2020
South Australia,2,,,0,0,13/02/2020
South Australia,2,,,0,0,14/02/2020
South Australia,2,,,0,0,15/02/2020
South Australia,2,,,0,0,16/02/2020
South Australia,2,,,0,2,17/02/2020
South Australia,2,,,0,2,18/02/2020
South Australia,2,,,0,2,19/02/2020
South Australia,2,,,0,2,20/02/2020
South Australia,2,,,0,2,21/02/2020
South Australia,2,,,0,2,22/02/2020
South Australia,2,,,0,2,23/02/2020
South Australia,2,,,0,2,24/02/2020
South Australia,2,,,0,2,25/02/2020
South Australia,2,,,0,2,26/02/2020
South Australia,2,,,0,2,27/02/2020
South Australia,2,,,0,2,28/02/2020
South Australia,3,,,0,2,29/02/2020
South Australia,3,,,0,2,1/03/2020
South Australia,3,,,0,2,2/03/2020
South Australia,3,,,0,2,3/03/2020
South Australia,5,,,0,2,4/03/2020
South Australia,5,,,0,2,5/03/2020
South Australia,7,,,0,2,6/03/2020
South Australia,7,,,0,2,7/03/2020
South Australia,7,,,0,2,8/03/2020
South Australia,7,,,0,2,9/03/2020
South Australia,7,,,0,2,10/03/2020
South Australia,9,,,0,2,11/03/2020
South Australia,9,,,0,2,12/03/2020
South Australia,16,,,0,3,13/03/2020
South Australia,19,,,0,3,14/03/2020
South Australia,20,,,0,3,15/03/2020
South Australia,29,,,0,3,16/03/2020
South Australia,29,,,0,3,17/03/2020
South Australia,37,,,0,3,18/03/2020
South Australia,42,,,0,3,19/03/2020
South Australia,50,,,0,3,20/03/2020
South Australia,67,,,0,3,21/03/2020
South Australia,100,,,0,6,22/03/2020
South Australia,134,,,0,6,23/03/2020
South Australia,170,,,0,6,24/03/2020
South Australia,197,2,,0,,25/03/2020
South Australia,235,3,,0,,26/03/2020
South Australia,257,6,,0,,27/03/2020
South Australia,287,5,,0,,28/03/2020
South Australia,299,6,,0,,29/03/2020
South Australia,305,8,,0,,30/03/2020
South Australia,337,8,,0,,31/03/2020
South Australia,367,8,,0,,1/04/2020
South Australia,385,7,,0,44,2/04/2020
South Australia,396,7,18,0,46,3/04/2020
South Australia,407,8,19,0,46,4/04/2020
South Australia,409,9,19,0,51,5/04/2020
South Australia,411,10,20,0,53,6/04/2020
South Australia,415,8,18,1,89,7/04/2020
South Australia,420,7,18,2,120,8/04/2020
South Australia,421,6,15,3,167,9/04/2020
South Australia,428,6,15,3,179,10/04/2020
South Australia,429,7,15,3,225,11/04/2020
South Australia,429,6,14,4,239,12/04/2020
South Australia,431,6,13,4,240,13/04/2020
South Australia,433,4,11,4,253,14/04/2020
South Australia,433,1,10,4,279,15/04/2020
South Australia,434,2,10,4,308,16/04/2020
South Australia,435,2,7,4,331,17/04/2020
South Australia,435,2,7,4,346,18/04/2020
South Australia,435,2,7,4,354,19/04/2020
South Australia,435,2,6,4,369,20/04/2020
South Australia,437,2,5,4,376,21/04/2020
South Australia,438,2,4,4,388,22/04/2020
South Australia,438,2,4,4,394,23/04/2020
South Australia,438,2,4,4,401,24/04/2020
South Australia,438,2,4,4,402,25/04/2020
South Australia,438,2,4,4,411,26/04/2020
South Australia,438,2,4,4,418,27/04/2020
South Australia,438,2,4,4,420,28/04/2020
South Australia,438,1,4,4,420,29/04/2020
South Australia,438,0,3,4,424,30/04/2020
South Australia,438,0,3,4,424,1/05/2020
South Australia,438,0,3,4,427,2/05/2020
South Australia,438,0,3,4,427,3/05/2020
South Australia,438,0,3,4,427,4/05/2020
South Australia,438,0,2,4,428,5/05/2020
South Australia,438,0,2,4,430,6/05/2020
South Australia,439,0,2,4,433,7/05/2020
South Australia,439,0,2,4,433,8/05/2020
South Australia,439,0,1,4,433,9/05/2020
South Australia,439,0,1,4,434,10/05/2020
South Australia,439,0,1,4,434,11/05/2020
South Australia,439,0,1,4,434,12/05/2020
South Australia,439,0,1,4,434,13/05/2020
South Australia,439,0,1,4,434,14/05/2020
South Australia,439,0,1,4,435,15/05/2020
South Australia,439,0,1,4,435,16/05/2020
South Australia,439,0,1,4,435,17/05/2020
South Australia,439,0,1,4,435,18/05/2020
South Australia,439,0,1,4,435,19/05/2020
South Australia,439,0,1,4,435,20/05/2020
South Australia,439,0,1,4,435,21/05/2020
South Australia,439,0,0,4,435,22/05/2020
South Australia,439,0,0,4,435,23/05/2020
South Australia,439,0,0,4,435,24/05/2020
South Australia,439,0,0,4,435,25/05/2020
South Australia,440,0,0,4,435,26/05/2020
South Australia,440,0,0,4,435,27/05/2020
South Australia,440,0,0,4,435,28/05/2020
South Australia,440,0,0,4,435,29/05/2020
South Australia,440,0,0,4,435,30/05/2020
South Australia,440,0,0,4,435,31/05/2020
South Australia,440,0,0,4,435,1/06/2020
