Date,icu
31/12/2019,
1/01/2020,
2/01/2020,
3/01/2020,
4/01/2020,
5/01/2020,
6/01/2020,
7/01/2020,
8/01/2020,
9/01/2020,
10/01/2020,
11/01/2020,
12/01/2020,
13/01/2020,
14/01/2020,
15/01/2020,
16/01/2020,
17/01/2020,
18/01/2020,
19/01/2020,
20/01/2020,
21/01/2020,
22/01/2020,
23/01/2020,
24/01/2020,
25/01/2020,
26/01/2020,
27/01/2020,
28/01/2020,
29/01/2020,
30/01/2020,
31/01/2020,
1/02/2020,
2/02/2020,
3/02/2020,
4/02/2020,
5/02/2020,
6/02/2020,
7/02/2020,
8/02/2020,
9/02/2020,
10/02/2020,
11/02/2020,
12/02/2020,
13/02/2020,
14/02/2020,
15/02/2020,
16/02/2020,
17/02/2020,
18/02/2020,
19/02/2020,
20/02/2020,
21/02/2020,
22/02/2020,
23/02/2020,
24/02/2020,
25/02/2020,
26/02/2020,
27/02/2020,
28/02/2020,
29/02/2020,
1/03/2020,
2/03/2020,
3/03/2020,
4/03/2020,
5/03/2020,
6/03/2020,
7/03/2020,
8/03/2020,
9/03/2020,
10/03/2020,
11/03/2020,
12/03/2020,
13/03/2020,
14/03/2020,
15/03/2020,
16/03/2020,
17/03/2020,
18/03/2020,
19/03/2020,
20/03/2020,
21/03/2020,
22/03/2020,
23/03/2020,
24/03/2020,
25/03/2020,
26/03/2020,
27/03/2020,
28/03/2020,
29/03/2020,
30/03/2020,267
31/03/2020,298
1/04/2020,314
2/04/2020,347
3/04/2020,366
4/04/2020,378
5/04/2020,404
6/04/2020,426
7/04/2020,436
8/04/2020,467
9/04/2020,472
10/04/2020,490
11/04/2020,492
12/04/2020,516
13/04/2020,529
14/04/2020,530
15/04/2020,540
16/04/2020,527
17/04/2020,529
18/04/2020,544
19/04/2020,544
20/04/2020,527
21/04/2020,537
22/04/2020,525
23/04/2020,546
24/04/2020,547
25/04/2020,558
26/04/2020,558
27/04/2020,543
28/04/2020,553
29/04/2020,531
30/04/2020,543
1/05/2020,529
2/05/2020,515
3/05/2020,512
4/05/2020,515
5/05/2020,508
6/05/2020,496
7/05/2020,481
8/05/2020,475
9/05/2020,472
10/05/2020,466
11/05/2020,448
12/05/2020,424
13/05/2020,412
