Province_State,Confirmed,Hospitalised,ICU,Deaths,Recovered,Date
Tasmania,0,,,0,,23/01/2020
Tasmania,0,,,0,,24/01/2020
Tasmania,0,,,0,,25/01/2020
Tasmania,0,,,0,,26/01/2020
Tasmania,0,,,0,,27/01/2020
Tasmania,0,,,0,,28/01/2020
Tasmania,0,,,0,,29/01/2020
Tasmania,0,,,0,,30/01/2020
Tasmania,0,,,0,,31/01/2020
Tasmania,0,,,0,,1/02/2020
Tasmania,0,,,0,,2/02/2020
Tasmania,0,,,0,,3/02/2020
Tasmania,0,,,0,,4/02/2020
Tasmania,0,,,0,,5/02/2020
Tasmania,0,,,0,,6/02/2020
Tasmania,0,,,0,,7/02/2020
Tasmania,0,,,0,,8/02/2020
Tasmania,0,,,0,,9/02/2020
Tasmania,0,,,0,,10/02/2020
Tasmania,0,,,0,,11/02/2020
Tasmania,0,,,0,,12/02/2020
Tasmania,0,,,0,,13/02/2020
Tasmania,0,,,0,,14/02/2020
Tasmania,0,,,0,,15/02/2020
Tasmania,0,,,0,,16/02/2020
Tasmania,0,,,0,,17/02/2020
Tasmania,0,,,0,,18/02/2020
Tasmania,0,,,0,,19/02/2020
Tasmania,0,,,0,,20/02/2020
Tasmania,0,,,0,,21/02/2020
Tasmania,0,,,0,,22/02/2020
Tasmania,0,,,0,,23/02/2020
Tasmania,0,,,0,,24/02/2020
Tasmania,0,,,0,,25/02/2020
Tasmania,0,,,0,,26/02/2020
Tasmania,0,,,0,,27/02/2020
Tasmania,0,,,0,,28/02/2020
Tasmania,0,,,0,,29/02/2020
Tasmania,0,,,0,,1/03/2020
Tasmania,0,,,0,,2/03/2020
Tasmania,1,,,0,,3/03/2020
Tasmania,1,,,0,,4/03/2020
Tasmania,1,,,0,,5/03/2020
Tasmania,1,,,0,,6/03/2020
Tasmania,1,,,0,,7/03/2020
Tasmania,1,,,0,,8/03/2020
Tasmania,2,,,0,,9/03/2020
Tasmania,2,,,0,,10/03/2020
Tasmania,2,,,0,,11/03/2020
Tasmania,3,,,0,,12/03/2020
Tasmania,3,,,0,,13/03/2020
Tasmania,5,,,0,,14/03/2020
Tasmania,5,,,0,,15/03/2020
Tasmania,6,,,0,,16/03/2020
Tasmania,7,,,0,,17/03/2020
Tasmania,7,,,0,,18/03/2020
Tasmania,10,,,0,,19/03/2020
Tasmania,10,,,0,,20/03/2020
Tasmania,10,,,0,,21/03/2020
Tasmania,16,,,0,,22/03/2020
Tasmania,22,,,0,,23/03/2020
Tasmania,28,,,0,,24/03/2020
Tasmania,28,,,0,,25/03/2020
Tasmania,36,,,0,,26/03/2020
Tasmania,47,,,0,,27/03/2020
Tasmania,47,,,0,,28/03/2020
Tasmania,62,,,0,,29/03/2020
Tasmania,66,,,0,,30/03/2020
Tasmania,66,,,0,,31/03/2020
Tasmania,69,,,1,,1/04/2020
Tasmania,69,,,2,,2/04/2020
Tasmania,72,,,2,,3/04/2020
Tasmania,74,,,2,,4/04/2020
Tasmania,80,11,2,2,,5/04/2020
Tasmania,82,11,2,2,,6/04/2020
Tasmania,86,13,2,2,,7/04/2020
Tasmania,89,13,2,2,,8/04/2020
Tasmania,98,15,2,3,,9/04/2020
Tasmania,111,8,2,3,,10/04/2020
Tasmania,122,8,2,4,,11/04/2020
Tasmania,133,10,2,4,,12/04/2020
Tasmania,133,11,2,5,,13/04/2020
Tasmania,144,11,2,5,,14/04/2020
Tasmania,165,12,2,6,,15/04/2020
Tasmania,165,13,2,6,,16/04/2020
Tasmania,169,15,2,6,,17/04/2020
Tasmania,180,16,2,7,,18/04/2020
Tasmania,188,17,2,7,,19/04/2020
Tasmania,195,18,2,7,,20/04/2020
Tasmania,200,19,2,7,,21/04/2020
Tasmania,201,16,0,7,,22/04/2020
Tasmania,205,16,0,7,,23/04/2020
Tasmania,207,16,0,8,,24/04/2020
Tasmania,209,14,0,10,,25/04/2020
Tasmania,210,13,0,11,,26/04/2020
Tasmania,214,14,0,11,,27/04/2020
Tasmania,217,14,0,11,,28/04/2020
Tasmania,220,14,0,11,,29/04/2020
Tasmania,222,12,0,13,,30/04/2020
Tasmania,223,13,0,13,,1/05/2020
Tasmania,223,11,0,13,,2/05/2020
Tasmania,223,8,1,13,,3/05/2020
Tasmania,223,8,1,13,,4/05/2020
Tasmania,225,8,1,13,,5/05/2020
Tasmania,226,8,1,13,,6/05/2020
Tasmania,227,8,1,13,,7/05/2020
Tasmania,227,8,1,13,,8/05/2020
Tasmania,227,8,0,13,,9/05/2020
Tasmania,227,8,0,13,,10/05/2020
Tasmania,227,8,0,13,,11/05/2020
Tasmania,227,8,0,13,,12/05/2020
